Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Indianapolis (IN),City proper,Estimate - de jure,"Final figure, complete",2017,855164,"1,2"
United States of America,2016,Total,Both Sexes,Inglewood (CA),City proper,Estimate - de jure,"Final figure, complete",2017,110654,"1,2"
United States of America,2016,Total,Both Sexes,Irvine (CA),City proper,Estimate - de jure,"Final figure, complete",2017,266122,"1,2"
United States of America,2016,Total,Both Sexes,Irving (TX),City proper,Estimate - de jure,"Final figure, complete",2017,238289,"1,2"
United States of America,2016,Total,Both Sexes,Jackson (MS),City proper,Estimate - de jure,"Final figure, complete",2017,169148,"1,2"
United States of America,2016,Total,Both Sexes,Jacksonville (FL),City proper,Estimate - de jure,"Final figure, complete",2017,880619,"1,2"
United States of America,2016,Total,Both Sexes,Jersey City (NJ),City proper,Estimate - de jure,"Final figure, complete",2017,264152,"1,2"
United States of America,2016,Total,Both Sexes,Joliet (IL),City proper,Estimate - de jure,"Final figure, complete",2017,148262,"1,2"
United States of America,2016,Total,Both Sexes,Jurupa Valley (CA),City proper,Estimate - de jure,"Final figure, complete",2017,103541,"1,2"
United States of America,2016,Total,Both Sexes,Kansas City (KS),City proper,Estimate - de jure,"Final figure, complete",2017,151709,"1,2"
United States of America,2016,Total,Both Sexes,Kansas City (MO),City proper,Estimate - de jure,"Final figure, complete",2017,481420,"1,2"
United States of America,2016,Total,Both Sexes,Kent (WA),City proper,Estimate - de jure,"Final figure, complete",2017,127514,"1,2"
United States of America,2016,Total,Both Sexes,Killeen (TX),City proper,Estimate - de jure,"Final figure, complete",2017,143400,"1,2"
United States of America,2016,Total,Both Sexes,Knoxville (TN),City proper,Estimate - de jure,"Final figure, complete",2017,186239,"1,2"
United States of America,2016,Total,Both Sexes,Lafayette (LA),City proper,Estimate - de jure,"Final figure, complete",2017,127626,"1,2"
United States of America,2016,Total,Both Sexes,Lakeland (FL),City proper,Estimate - de jure,"Final figure, complete",2017,106420,"1,2"
United States of America,2016,Total,Both Sexes,Lakewood (CO),City proper,Estimate - de jure,"Final figure, complete",2017,154393,"1,2"
United States of America,2016,Total,Both Sexes,Lancaster (CA),City proper,Estimate - de jure,"Final figure, complete",2017,160106,"1,2"
United States of America,2016,Total,Both Sexes,Lansing (MI),City proper,Estimate - de jure,"Final figure, complete",2017,116020,"1,2"
United States of America,2016,Total,Both Sexes,Laredo (TX),City proper,Estimate - de jure,"Final figure, complete",2017,257156,"1,2"
United States of America,2016,Total,Both Sexes,Las Cruces (NM),City proper,Estimate - de jure,"Final figure, complete",2017,101759,"1,2"
United States of America,2016,Total,Both Sexes,Las Vegas (NV),City proper,Estimate - de jure,"Final figure, complete",2017,632912,"1,2"
United States of America,2016,Total,Both Sexes,League City (TX),City proper,Estimate - de jure,"Final figure, complete",2017,102010,"1,2"
United States of America,2016,Total,Both Sexes,Lewisville (TX),City proper,Estimate - de jure,"Final figure, complete",2017,104659,"1,2"
United States of America,2016,Total,Both Sexes,Lexington-Fayette (KY),City proper,Estimate - de jure,"Final figure, complete",2017,318449,"1,2"
United States of America,2016,Total,Both Sexes,Lincoln (NE),City proper,Estimate - de jure,"Final figure, complete",2017,280364,"1,2"
United States of America,2016,Total,Both Sexes,Little Rock (AR),City proper,Estimate - de jure,"Final figure, complete",2017,198541,"1,2"
United States of America,2016,Total,Both Sexes,Long Beach (CA),City proper,Estimate - de jure,"Final figure, complete",2017,470130,"1,2"
United States of America,2016,Total,Both Sexes,Los Angeles (CA),City proper,Estimate - de jure,"Final figure, complete",2017,3976322,"1,2"
United States of America,2016,Total,Both Sexes,Louisville (KY),City proper,Estimate - de jure,"Final figure, complete",2017,616261,"1,2"
United States of America,2016,Total,Both Sexes,Lowell (MA),City proper,Estimate - de jure,"Final figure, complete",2017,110558,"1,2"
United States of America,2016,Total,Both Sexes,Lubbock (TX),City proper,Estimate - de jure,"Final figure, complete",2017,252506,"1,2"
United States of America,2016,Total,Both Sexes,Macon-Bibb (GA),City proper,Estimate - de jure,"Final figure, complete",2017,152555,"1,2"
United States of America,2016,Total,Both Sexes,Madison (WI),City proper,Estimate - de jure,"Final figure, complete",2017,252551,"1,2"
United States of America,2016,Total,Both Sexes,Manchester (NH),City proper,Estimate - de jure,"Final figure, complete",2017,110506,"1,2"
United States of America,2016,Total,Both Sexes,McAllen (TX),City proper,Estimate - de jure,"Final figure, complete",2017,142212,"1,2"
United States of America,2016,Total,Both Sexes,McKinney City (TX),City proper,Estimate - de jure,"Final figure, complete",2017,172298,"1,2"
United States of America,2016,Total,Both Sexes,Memphis (TN),City proper,Estimate - de jure,"Final figure, complete",2017,652717,"1,2"
United States of America,2016,Total,Both Sexes,Mesa (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,484587,"1,2"
United States of America,2016,Total,Both Sexes,Mesquite (TX),City proper,Estimate - de jure,"Final figure, complete",2017,143736,"1,2"
United States of America,2016,Total,Both Sexes,Miami (FL),City proper,Estimate - de jure,"Final figure, complete",2017,453579,"1,2"
United States of America,2016,Total,Both Sexes,Miami Gardens (FL),City proper,Estimate - de jure,"Final figure, complete",2017,113058,"1,2"
United States of America,2016,Total,Both Sexes,Midland City (TX),City proper,Estimate - de jure,"Final figure, complete",2017,134610,"1,2"
United States of America,2016,Total,Both Sexes,Milwaukee (WI),City proper,Estimate - de jure,"Final figure, complete",2017,595047,"1,2"
United States of America,2016,Total,Both Sexes,Minneapolis (MN),City proper,Estimate - de jure,"Final figure, complete",2017,413651,"1,2"
United States of America,2016,Total,Both Sexes,Miramar (FL),City proper,Estimate - de jure,"Final figure, complete",2017,138449,"1,2"
United States of America,2016,Total,Both Sexes,Mobile (AL),City proper,Estimate - de jure,"Final figure, complete",2017,192904,"1,2"
United States of America,2016,Total,Both Sexes,Modesto (CA),City proper,Estimate - de jure,"Final figure, complete",2017,212175,"1,2"
United States of America,2016,Total,Both Sexes,Montgomery (AL),City proper,Estimate - de jure,"Final figure, complete",2017,200022,"1,2"
United States of America,2016,Total,Both Sexes,Moreno Valley (CA),City proper,Estimate - de jure,"Final figure, complete",2017,205499,"1,2"
United States of America,2016,Total,Both Sexes,Murrieta (CA),City proper,Estimate - de jure,"Final figure, complete",2017,111674,"1,2"
United States of America,2016,Total,Both Sexes,Murfreesboro (TN),City proper,Estimate - de jure,"Final figure, complete",2017,131947,"1,2"
United States of America,2016,Total,Both Sexes,Naperville (IL),City proper,Estimate - de jure,"Final figure, complete",2017,147122,"1,2"
United States of America,2016,Total,Both Sexes,Nashville-Davidson (TN),City proper,Estimate - de jure,"Final figure, complete",2017,660388,"1,2"
United States of America,2016,Total,Both Sexes,New Haven (CT),City proper,Estimate - de jure,"Final figure, complete",2017,129934,"1,2"
United States of America,2016,Total,Both Sexes,New Orleans (LA),City proper,Estimate - de jure,"Final figure, complete",2017,391495,"1,2"
United States of America,2016,Total,Both Sexes,New York (NY),City proper,Estimate - de jure,"Final figure, complete",2017,8537673,"1,2"
United States of America,2016,Total,Both Sexes,Newark (NJ),City proper,Estimate - de jure,"Final figure, complete",2017,281764,"1,2"
United States of America,2016,Total,Both Sexes,Newport News (VA),City proper,Estimate - de jure,"Final figure, complete",2017,181825,"1,2"
United States of America,2016,Total,Both Sexes,Norfolk (VA),City proper,Estimate - de jure,"Final figure, complete",2017,245115,"1,2"
United States of America,2016,Total,Both Sexes,Norman (OK),City proper,Estimate - de jure,"Final figure, complete",2017,122180,"1,2"
United States of America,2016,Total,Both Sexes,North Charleston (SC),City proper,Estimate - de jure,"Final figure, complete",2017,109298,"1,2"
United States of America,2016,Total,Both Sexes,North Las Vegas (NV),City proper,Estimate - de jure,"Final figure, complete",2017,238702,"1,2"
United States of America,2016,Total,Both Sexes,Norwalk (CA),City proper,Estimate - de jure,"Final figure, complete",2017,106178,"1,2"
United States of America,2016,Total,Both Sexes,Oakland (CA),City proper,Estimate - de jure,"Final figure, complete",2017,420005,"1,2"
United States of America,2016,Total,Both Sexes,Oceanside (CA),City proper,Estimate - de jure,"Final figure, complete",2017,175464,"1,2"
